,logS,MolLogP,MolMR,LabuteASA,HeavyAtomMolWt,Chi0v,MolWt,ExactMolWt,Chi1,AvgIpc,Chi1v,SMR_VSA7,HeavyAtomCount,Chi3v,Chi1n,Chi0,PEOE_VSA6,BCUT2D_LOGPHI,FpDensityMorgan1,BertzCT,Chi0n,Chi2v,NumValenceElectrons,Chi2n,Chi4v,Chi3n,Chi4n,NumAromaticRings,NumAromaticCarbocycles,RingCount,Kappa1
7,-1.37,-3.1585,21.24990000000001,38.93746665044987,100.03699999999999,3.4184107148069356,105.07699999999998,105.04070182008999,3.125897657686229,1.272905595320056,1.4161054386097156,10.114318268765572,7,0.22038653779110828,1.4161054386097156,5.8618073195657985,0.0,1.4644993407470814,2.0,85.86291712607164,3.4184107148069356,0.8242549852215174,40,0.8242549852215174,0.105409255338946,0.22038653779110828,0.105409255338946,0,0,0,5.670000000000001
9,-1.39,0.15879999999999994,44.69640000000001,75.87230534242397,172.099,7.638958433764684,184.195,184.084792244,6.063714582173599,2.0491325407329093,4.233692779255437,0.0,13,2.530521524222532,4.233692779255437,10.060477932315068,13.847474399381248,2.2796616177114597,1.0,246.56270446889653,7.638958433764684,3.0265859980688896,72,3.0265859980688896,1.4720983294086722,2.530521524222532,1.4720983294086722,0,0,1,9.696132644272181
19,-1.52,-0.36770000000000014,35.18490000000001,58.09199178314606,130.08199999999997,5.203247926875855,136.13,136.04040201191,4.71521405516327,1.8787445285930133,2.7742736942483024,29.828919765543436,10,1.180703682483721,2.7742736942483024,7.560477932315068,18.19910120538483,2.0734700724477046,1.4,257.53794892648057,5.203247926875855,1.8747079272146416,52,1.8747079272146416,0.6829009798698816,1.180703682483721,0.6829009798698816,1,1,1,6.607785630153122
22,-1.55,0.05009999999999992,30.772499999999994,52.75210108613335,116.07499999999997,4.703247926875855,121.11499999999995,121.02950297991,4.304530452640311,1.9003726279897948,2.568931892986823,35.89528683400505,9,1.0094913287441556,2.568931892986823,6.69023444431199,30.33183534230805,1.9384699513914236,1.2222222222222223,203.415952604261,4.703247926875855,1.6534828823497039,46,1.6534828823497039,0.5742356160406284,1.0094913287441556,0.5742356160406284,1,1,1,5.820039011703511
24,-1.55,1.1417,46.90900000000002,73.47971171478007,172.172,7.245650060960299,178.22,178.031317192,5.898178147766923,2.169703195779378,4.59169032626557,18.721007217990696,12,2.026886921068097,3.3669454548739814,8.38890505706126,0.0,2.1151878122368077,1.25,403.2834383297276,6.429153480032574,2.9704761894184104,60,2.1439514527239765,1.1852603665796826,1.4119141265810522,0.8493910151485854,2,0,2,7.420820130091841
26,-1.56,1.7247999999999999,39.830000000000005,61.61689002869333,128.08599999999998,6.644923705673916,142.19799999999998,142.099379688,4.663902460147014,1.818897685521139,3.676015243430232,0.0,10,1.2552831163965565,3.676015243430232,7.983127663125442,13.344558822616634,1.9776317559694137,1.3,127.21928094887362,6.644923705673916,2.5210203236073356,58,2.5210203236073356,0.739996429099784,1.2552831163965565,0.739996429099784,0,0,0,9.34
34,-1.6,1.5807,39.760000000000005,61.61689002869332,128.08599999999998,6.808060412490447,142.19799999999998,142.099379688,4.519744507803582,1.5776335714200524,3.5318572910867987,0.0,10,1.082033453688646,3.5318572910867987,8.146264369941973,13.847474399381248,2.017990932280706,1.3,136.1930175513852,6.808060412490447,3.0154379283633452,58,3.0154379283633452,0.8051731874163084,1.082033453688646,0.8051731874163084,0,0,0,9.34
52,-1.7,1.3655000000000002,47.34450000000001,84.8371208838002,214.99099999999999,8.147232247826205,220.03099999999998,218.96212295991,6.074586062669973,2.0740421967288007,4.0651977477102985,27.741452256102868,13,2.0796442967409945,3.309268801691844,10.008071689507773,23.20187978046503,2.325096274419433,1.3846153846153846,349.4875302332068,6.6353743557892955,3.039314617179093,70,2.2249143636978808,1.3835869217674164,1.4670429516635433,0.9229828992665982,1,1,1,10.15285004142502
60,-1.76,1.1416999999999997,46.90900000000002,73.47971171478005,172.172,7.245650060960299,178.22,178.031317192,5.898178147766923,2.169703195779378,4.6017564330069085,18.59053071483923,12,1.9494456591216465,3.3770115616153196,8.38890505706126,11.761884949391115,2.0980492043826158,1.1666666666666667,403.2834383297276,6.429153480032573,2.8952857773662,60,2.1218891152322263,1.1886919309932815,1.387600939195062,0.8528225795621844,2,0,2,7.420820130091841
71,-1.82,-0.24430000000000013,32.43729999999999,57.54633483832936,132.07399999999998,5.0731112531861875,137.11399999999998,137.02441759991,4.71521405516327,1.8787445285930133,2.7092053574034685,29.828919765543436,10,1.123963541761025,2.7092053574034685,7.560477932315068,12.13273413692322,2.128923971769364,1.4,254.78306142431708,5.0731112531861875,1.8046065369991384,52,1.8046065369991384,0.6462518311579322,1.123963541761025,0.6462518311579322,1,1,1,6.607785630153122
