,SMILES,logS,Processed_SMILES
4851,OC1=CC(Cl)=CC(Cl)=C1,-1.5590000000000002,OC1=CC(Cl)=CC(Cl)=C1
3838,CCCC[NH2+]CC,-0.4405,CCCC[NH2+]CC
6672,CC(C)CO,0.04,CC(C)CO
5650,CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)NC(CCC([O-])=O)C([O-])=O,-4.0,CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C(=O)NC(CCC(=O)[O-])C(=O)[O-])C=C1
6078,CCCCCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4C3CCC12C)C#C,-6.89,C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
5114,CCSC(=O)N1CCCCCC1,-2.2858,CCSC(=O)N1CCCCCC1
186,OC1=CC=CC=C1C(=O)OC1CCCCC1,-4.5540762927,O=C(OC1CCCCC1)C1=CC=CC=C1O
2421,CCC(C)=NO,0.0599,CCC(C)=NO
4317,ClC1=CC=C(C(Cl)=C1)C1=C(Cl)C=C(Cl)C(Cl)=C1Cl,-7.4721,ClC1=CC=C(C2=C(Cl)C=C(Cl)C(Cl)=C2Cl)C(Cl)=C1
3681,CCOC(OCC)C(C)=O,-0.2059,CCOC(OCC)C(C)=O
1200,OCCCCCCO,1.6264407184,OCCCCCCO
7065,CCCCCCCCCC[NH2+]CC(O)CO,-3.11,CCCCCCCCCC[NH2+]CC(O)CO
3585,CC1=CC=C(O)C(CO)=C1,-0.3143,CC1=CC=C(O)C(CO)=C1
4907,CC(Cl)Cl,-1.2913,CC(Cl)Cl
5771,FC1=CN(C(=O)OCC2=CC=CC=C2)C(=O)NC1=O,-2.82,O=C1NC(=O)N(C(=O)OCC2=CC=CC=C2)C=C1F
7067,CCCCCC1(CCO)C(=O)NC(=S)NC1=O,-2.38,CCCCCC1(CCO)C(=O)NC(=S)NC1=O
2615,ClN1C(=O)CCC1=O,-0.9702,O=C1CCC(=O)N1Cl
6040,[O-][N+](=O)C1=C([N-]N=C(C#N)C#N)C=CC=C1,-3.93,N#CC(C#N)=N[N-]C1=C([N+](=O)[O-])C=CC=C1
