SMILES,logS
CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,-5.54801969566953
CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,-5.071408991961754
CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,-3.925969395299357
CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,-4.535280051805512
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,-4.70996281408114
COc1ccc(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)cc1,-3.795549032327418
COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,-3.852570829476536
N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,-4.110101632632705
CCCc1cc(N2CCc3c(nc(C4CC4)n3C)C2)n2ncnc2n1,-3.80170228199551
C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,-3.72540511285351
[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,-4.399056409720074
C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,-4.628666061399768
Nc1n[nH]cc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,-4.224050832690105
Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,-5.377649203116202
Cn1cc(-c2cn3nccc3c(-c3cnn([C@]4(CC#N)C[C@@H](C#N)C4)c3)n2)cn1,-5.2412509491662025
O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1,-3.840587880366625
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,-3.9480539111991835
CC(C)(C)c1ccc(-c2nc3n(c(=O)c2C#N)CCS3)cc1,-5.095392545523328
CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,-3.8472918140187193
C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,-3.908552569974956
CC(C)(C=C(C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,-4.270050784957313
CC#CC(=O)N1CC[C@@H](n2cc(-c3ccc(Oc4c(F)cccc4F)cc3)c3c(N)n[nH]c(=O)c32)C1,-5.25837296187479
C[C@@H]1c2nnn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,-4.0958403447840155
COc1ccccc1-c1cc(NC(=O)c2cccc(N3CCNC3=O)c2)[nH]n1,-4.802289532819696
Nc1ncc(-c2cccc(C(F)(F)F)c2)c(C2CCCCN2C(=O)c2ccccc2)n1,-4.230186250510939
O=C(Nc1cccc(-c2nncn2C2CC2)c1)c1cc(-n2cnc(C3CC3)c2)ccn1,-3.961124607113098
Fc1ccccc1-c1c[nH]nc1C1CCCN1Cc1ccc2ncccc2c1,-4.105681629452928
Cc1nccc(-c2cn(Cc3ccccc3)c3cnccc23)n1,-3.9503159281615603
CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12,-4.372285821681655
Cc1c(Cl)ccc2cc3n(c12)[C@@H](C)CNC3=O,-3.8732542520367677
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2[C@@H]1CCCNC1,-3.9855866417620778
Cc1nnc(CN(C)CC(C)Oc2ccc(Cl)c(Cl)c2)n1C,-4.017106727730695
COc1nn(C)cc1C(=O)Nc1cccc(-c2cnc3n2CCC3)c1,-3.9688151846443454
COc1cc(F)ccc1-c1ncnc(Nc2cccc(C[S@@](C)(=N)=O)c2)n1,-3.858230170038483
Cc1ncc(CN2CC[C@@H](Nc3cncc(Cl)n3)[C@@H](C)C2)s1,-3.8061285625106076
Cc1ccc(C(=O)N2CCC(Cc3ccccc3-c3ccccc3)(C(=O)N(C)C)CC2)s1,-4.273357320596236
CCc1nc2c(C)cc(N3CCN(CC(=O)N4CC(O)C4)CC3)cn2c1N(C)c1nc(-c2ccc(F)cc2)c(C#N)s1,-3.9895863140379695
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,-3.879845084722528
CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)C2CCCO2)CC1,-3.699024739346983
CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2ccc(Cl)cc2)cc1,-3.8912286964344855
CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2cccc(Cl)c2)cc1,-3.8934886894344856
O=C1CN(c2ccc(Nc3nccc(C(F)(F)F)n3)cn2)CCN1,-3.819175646406586
O=C1NCCN(C(=O)c2ccc3nccn3c2)C1c1ccccc1C(F)(F)F,-3.7466129511822204
Cc1cc(F)ccc1C1C(=O)NCCN1C(=O)c1ccc2nccn2c1,-3.753207308947906
O=C1NCCN(C(=O)c2ccncc2)C1c1ccccc1Cl,-3.8539348443874593
C[C@H]1CN(C(=O)CC(c2ccccc2)c2ccccc2)C[C@@H](C)O1,-3.791120622349024
CN1[C@H]2CC[C@@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,-3.7709184105893834
CC(C)(C)C(=O)N1CCC(Cc2ccc(-c3cccs3)cc2)(C(=O)N2CCCC2)CC1,-4.2803774265856624
OC[C@H](Nc1cncc(-c2ccc3[nH]ncc3n2)c1)c1ccccc1,-4.0061758490419965
Cc1ncsc1C(=O)N1CCCCC1c1nc(N(C)C)ncc1-c1cccc(Cl)c1,-4.385339090388619
OCC1CCCCN1Cc1ccc(Cl)c(Cl)c1,-3.8148039054772545
CC(=O)N1CCN(c2nc(C(F)(F)F)nc3sc(C)c(C)c23)CC1,-3.8442373064348034
COc1ccccc1C(=O)Nc1ccc2cc[nH]c2c1,-4.735175086438941
c1ccc(Oc2cccc(CN(CCN3CCOCC3)Cc3cccnc3)c2)cc1,-3.7817456884354117
COc1ccc([C@H]2CN(C(C)=O)[C@@H]3CCCN(Cc4cccc(F)c4)[C@H]23)cc1,-3.9293950812164673
Cc1c(C(=O)NCCCN(C)C)sc2ncnc(Nc3ccc(F)cc3OC(C)C)c12,-4.276734808120471
OCC1CCCCN1Cc1ccc(-c2ccccc2)cc1,-3.829186494760939
