SMILES,logS
CC(C1=CC=CC=C1)C1=CC(C(C)C2=CC=CC=C2)=C(O)C(=C1)C([O-])=O,-3.9244090954
C(C1CO1)N(CC1CO1)C1=CC=C(CC2=CC=C(C=C2)N(CC2CO2)CC2CO2)C=C1,-4.6620645831
CC1=CC=CC(C=C)=C1,-3.1231503041
FC1=CC=C(C=C1)C(=O)C1=CC=C(F)C=C1,-4.396652184700001
O=C(OCCCOCCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,-4.595502563999999
CC(C)(C)C1=CC=C(OCC2CO2)C=C1,-3.4302388798
COCCCCC(=O)C1=CC=C(C=C1)C(F)(F)F,-3.5440597008
FC(F)(F)C1=CC=CC(Cl)=C1,-3.4115138849
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407
CC(C)=C1CCC(C)=CC1,-4.2873429345
CC[NH2+]CC(O)C1=CC=CC(O)=C1,-3.4541026398000003
ClCC1=CC=C(Cl)C=C1Cl,-3.5129421932
CCCCCCCCCCCCOC(=O)C(C)O,-4.6341446203
CCC(CC1=CC=CC=C1)([NH+](C)C)C(=O)C1=CC=C(C=C1)N1CCOCC1,-4.7932278922
CC(C)CCCCCCC1=CC=C(O)C=C1,-4.587250024599999
CC(=C)C1=CC(=CC=C1)C(C)=C,-4.4511392252
CC1=CC=C(C=C1)C(C)(C)C,-4.4720217682
C(CCC[NH+]=CC=CC1=CC=CC=C1)CC[NH+]=CC=CC1=CC=CC=C1,-3.8937390711
C=CC(=O)OCCOC1=CC=CC=C1C1=CC=CC=C1,-3.9515188418
SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.1231687481
CC1=CC(=CC(C)=C1O)C(C)(C)C1=CC(C)=C(O)C(C)=C1,-4.952868802799999
CCOC(=O)CC(C)CC(C)(C)C,-3.8230431676
CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,-4.1510889183
C(COC1=CC=CC=C1)OC1=CC=CC=C1,-3.9885265275
CCCCCCC=CC1CC(=O)OC1=O,-4.0217535152
CC1=CCC2CC1C2(C)C,-4.7725704235
C[Si](C)(C)O[Si](C)(C)C,-4.909505216
S=[W]=S,-4.1391336425
CCCC(=O)OC(C)(C)CC1=CC=CC=C1,-4.1359426126
O=C(OC1=CC=CC=C1)OC1=CC=CC=C1,-4.2169166627
CCCCC(CC)C(=O)OC=C,-4.1519109764
CCO[Si](CCCCl)(OCC)OCC,-3.3285834497000004
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,-4.3876832538
CC(C)CC(C)CC(C)C=C(C)C1CC(=O)OC1=O,-4.4255032449
CCCCCCCCCC(=O)OC1=CC=C(C=C1)C([O-])=O,-5.424547549700001
COC1=CC=C(C=CC(=O)OCCC(C)C)C=C1,-5.4919252104
C1CC=CCCC=CCCC=C1,-5.3651562541
CCCCC(CC)CNC(=O)CCCCCC(C)C,-5.731545252999999
C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=CC=C1,-6.183335848
CCC(CC)CC1(CCCCC1)C#N,-6.5873382321000005
COC1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(C=C1)[N+]([O-])=O,-6.9290130346000005
CC(C)=CCCC(C)=CC=CC(C)=O,-3.2972120668
[O-][N+](=O)C1=CC=C2NC(=O)NC2=C1,-3.2740875474
CC1=CC=C(C=C1)S(=O)(=O)C(=CN1CC(=O)NC1=S)C#N,-3.5292992951
CC1=C(Cl)C=CC=C1[N+]([O-])=O,-3.2706864295
CCCCCCCl,-3.1223887332
CCCC(CCC)(C([O-])=O)C(CCC)(C=CC)C([O-])=O,-3.4953596006
CC1CC(=O)C=C2CCC3C4CCC(O)C4(C)CCC3C12C,-3.5264225666000004
CC1=NC2=CC=CC=C2C1=NNC1=CC(Cl)=C(C=C1Cl)S(=O)(=O)NCCS([O-])(=O)=O,-3.7561795168
CC(C)(O)C(=O)C1=CC=C(CC2=CC=C(C=C2)C(=O)C(C)(C)O)C=C1,-4.536378597
O=C(NC1=CC=CC=C1)NC1=CC=CC=C1NS(=O)(=O)C1=CC=CC=C1,-4.5784028785
CC(CCC=C(C)C)CC=O,-3.243750947
CC(C)C1=CC=C(CCC=O)C=C1,-3.3026567859
CCCOC(C)OCCC1=CC=CC=C1,-3.3841929036
COC(OC)C(C)(C)CC=C(C)C,-3.3397616042
COC(C)(C)C1CCC(C)=CC1,-3.2966135776
[O-][N+](=O)C1=CC(Cl)=CC=C1Cl,-3.3642253983
CC=C1CC2CC1C=C2,-3.1767964148
CCN(C(=O)N(CC)C1=CC=CC=C1)C1=CC=CC=C1,-3.5256277962
OC1=CC=CC=C1C(=O)OCC1=CC=CC=C1,-4.4139224059
[O-]S(=O)(=O)C1=CC=CC2=CC(NC3=CC=CC=C3)=CC(NC3=CC=CC=C3)=C12,-4.6725029066
S(C1=CC=CC=C1)C1=CC=CC=C1,-4.3606078686
CCOCCCNS(=O)(=O)C1=CC=C(OC2=CC(O)=C3C(=O)C4=CC=CC=C4C(=O)C3=C2N)C=C1,-4.7874700957
CC=CC(=O)C1C(C)C=CCC1(C)C,-3.3963665007
O=C(OCC1CO1)C1=CC=C(C=C1)C(=O)OCC1CO1,-3.5579600556
CCCCCC=CCCC=O,-3.301742894
