SMILES,logS
ClC1=CC=C(C=O)C=C1,-2.1770779444
CC(C1=CC=CC=C1)C1=CC(C(C)C2=CC=CC=C2)=C(O)C(=C1)C([O-])=O,-3.9244090954
C(C1CO1)N(CC1CO1)C1=CC=C(CC2=CC=C(C=C2)N(CC2CO2)CC2CO2)C=C1,-4.6620645831
CC1=CC=CC(C=C)=C1,-3.1231503041
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-2.6645485391
FC1=CC=C(C=C1)C(=O)C1=CC=C(F)C=C1,-4.396652184700001
O=C(OCCCOCCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,-4.595502563999999
CN(C)C1=CC=C(C=O)C=C1,-2.2827688499
CC(=O)OC(C)(C)CC1=CC=CC=C1,-2.3946499685
CC(C)(C)C1=CC=C(OCC2CO2)C=C1,-3.4302388798
COCCCCC(=O)C1=CC=C(C=C1)C(F)(F)F,-3.5440597008
FC(F)(F)C1=CC=CC(Cl)=C1,-3.4115138849
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407
CC(C)=C1CCC(C)=CC1,-4.2873429345
CC[NH2+]CC(O)C1=CC=CC(O)=C1,-3.4541026398000003
ClCC1=CC=C(Cl)C=C1Cl,-3.5129421932
CCCCCCCCCCCCOC(=O)C(C)O,-4.6341446203
C=CC(=O)OCCOC1=CC=CC=C1,-2.5636257131
CCC(CC1=CC=CC=C1)([NH+](C)C)C(=O)C1=CC=C(C=C1)N1CCOCC1,-4.7932278922
CC(C)CCCCCCC1=CC=C(O)C=C1,-4.587250024599999
CC(=C)C1=CC(=CC=C1)C(C)=C,-4.4511392252
CC1=CC=C(C=C1)C(C)(C)C,-4.4720217682
[O-]C(=O)C1CCCCC1,-1.445031941
[O-]S(=O)(=O)OCCS(=O)(=O)C1=CC=CC(NC2=NC(Cl)=NC(NC3=CC(=CC4=C3C(=O)C(=NNC3=C(C5=CC=CC(=C5C=C3)S([O-])(=O)=O)S([O-])(=O)=O)C(=C4)S([O-])(=O)=O)S([O-])(=O)=O)=N2)=C1,-0.4108977358
C(CCC[NH+]=CC=CC1=CC=CC=C1)CC[NH+]=CC=CC1=CC=CC=C1,-3.8937390711
