SMILES,logS
O=Cc1ccc(Cl)cc1,-2.1770779444
CC(c1ccccc1)c1cc(C(=O)[O-])c(O)c(C(C)c2ccccc2)c1,-3.9244090954
c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,-4.6620645831
C=Cc1cccc(C)c1,-3.1231503041
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CC(O)C2(O)C(=O)CO,-2.6645485391
O=C(c1ccc(F)cc1)c1ccc(F)cc1,-4.396652184700001
O=C(OCCCOCCCOC(=O)c1ccccc1)c1ccccc1,-4.595502563999999
CN(C)c1ccc(C=O)cc1,-2.2827688499
CC(=O)OC(C)(C)Cc1ccccc1,-2.3946499685
CC(C)(C)c1ccc(OCC2CO2)cc1,-3.4302388798
COCCCCC(=O)c1ccc(C(F)(F)F)cc1,-3.5440597008
FC(F)(F)c1cccc(Cl)c1,-3.4115138849
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407
CC1=CCC(=C(C)C)CC1,-4.2873429345
CC[NH2+]CC(O)c1cccc(O)c1,-3.4541026398000003
ClCc1ccc(Cl)cc1Cl,-3.5129421932
C=CC(=O)OCCOc1ccccc1,-2.5636257131
CCC(Cc1ccccc1)(C(=O)c1ccc(N2CCOCC2)cc1)[NH+](C)C,-4.7932278922
CC(C)CCCCCCc1ccc(O)cc1,-4.587250024599999
C=C(C)c1cccc(C(=C)C)c1,-4.4511392252
Cc1ccc(C(C)(C)C)cc1,-4.4720217682
O=C1C(=NNc2ccc3c(S(=O)(=O)[O-])cccc3c2S(=O)(=O)[O-])C(S(=O)(=O)[O-])=Cc2cc(S(=O)(=O)[O-])cc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c4)n3)c21,-0.4108977358
C(=Cc1ccccc1)C=[NH+]CCCCCC[NH+]=CC=Cc1ccccc1,-3.8937390711
NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c3)n2)ccc1N=Nc1cc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc2cc1S(=O)(=O)[O-],-0.4261364852
CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(c2)C=C(S(=O)(=O)[O-])C(=NNc2ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc2)C3=O)n1,-3.358911212
O=[p+]1oc2ccccc2c2ccccc21,-1.7796231349
C=COC(=O)c1ccccc1,-2.6229591952
Cc1cccc(CC(C)(C)CO)c1,-2.8265354685000004
CC1(C)C2CC=C(CCO)C1C2,-2.6959998037
CC1CC(=O)CC(C)(C)C1,-1.6471414632
C=CC(=O)OCCOc1ccccc1-c1ccccc1,-3.9515188418
O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.1231687481
Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O,-4.952868802799999
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,-5.4730005799
CCOC(=O)CC(C)CC(C)(C)C,-3.8230431676
CCc1ccc(C)nc1,-1.0042604536
CC1CCC(C(C)C)C(OC(=O)C(C)O)C1,-2.9799872046
CF,-0.1758743764999999
c1ccc(OCCOc2ccccc2)cc1,-3.9885265275
CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,-7.2780387128
Cc1cc(C)c(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c(C)c1CNC(=O)c1ccccc1,-1.4396051212999998
CCCCCCC=CC1CC(=O)OC1=O,-4.0217535152
CC1=CCC2CC1C2(C)C,-4.7725704235
C=C(F)C(F)(F)F,-2.7599573667
CCN(CC)c1ccc([C+](c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)c(C)c1,-0.6229779303
[S]=[W]=[S],-4.1391336425
CCCC(=O)OC(C)(C)Cc1ccccc1,-4.1359426126
O=c1ccc(=NNc2ccc(S(=O)(=O)[O-])c3ccccc23)c(=O)c1=N[N-]c1ccc(S(=O)(=O)[O-])c2ccccc12,-2.6038411441
O=C(Oc1ccccc1)Oc1ccccc1,-4.2169166627
C=COC(=O)C(CC)CCCC,-4.1519109764
CCO[Si](CCCCl)(OCC)OCC,-3.3285834497000004
Cc1cc(C)c(S(=O)(=O)[O-])c(C)c1Nc1ccc(Nc2c(C)cc(C)c(S(=O)(=O)[O-])c2C)c2c1C(=O)c1ccccc1C2=O,-1.7922611704
CC(=CC(C)CC(C)CC(C)C)C1CC(=O)OC1=O,-4.4255032449
CCCCCCCCCC(=O)Oc1ccc(C(=O)[O-])cc1,-5.424547549700001
COc1ccc(C=CC(=O)OCCC(C)C)cc1,-5.4919252104
C1=CCCC=CCCC=CCC1,-5.3651562541
CCCCC(CC)CNC(=O)CCCCCC(C)C,-5.731545252999999
COC1CC(OC2C(C)OC(OC3C(C)=CCC4CC(CC5(C=CC(C)C(C6CCCCC6)O5)O4)OC(=O)C4C=C(C)C(O)C5OCC(=CC=CC3C)C45O)CC2OC)OC(C)C1O,-7.5558815137
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-6.183335848
CCC(CC)CC1(C#N)CCCCC1,-6.5873382321000005
COc1ccc(N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)cc1,-6.9290130346000005
CCCCN(CCCC)c1ccc2c(c1)Oc1cc(C)c(Nc3ccccc3)cc1C21OC(=O)c2ccccc21,-7.4042503575
O=Cc1cccc2c1OC(F)(F)O2,-2.1558333574
CCCCCCCCCCCC[n+]1ccccc1,-0.4539105371
O=c1c(CO)cc(=NNc2ccc(S(=O)(=O)[O-])c3ccccc23)c(=O)c1=N[N-]c1ccc(S(=O)(=O)[O-])c2ccccc12,-0.8171647444
CC(=O)C=CC=C(C)CCC=C(C)C,-3.2972120668
C=CN1CCN(C=C)C1=O,-1.1558864442
O=c1[nH]c2ccc([N+](=O)[O-])cc2[nH]1,-3.2740875474
Cc1ccc(S(=O)(=O)C(C#N)=CN2CC(=O)NC2=S)cc1,-3.5292992951
CCc1occc(=O)c1O,-1.1759580204
COC(=O)Cc1ccccc1,-2.2114017234
Cc1c(Cl)cccc1[N+](=O)[O-],-3.2706864295
CCCCCCCl,-3.1223887332
C=C(C)C(=O)OCC(F)(F)F,-2.2684756839
CCCCCCC(C)=O,-2.1536963273
CCCCCC=CCC(CC(=O)[O-])C(=O)[O-],-2.4042405739
CC=CC(CCC)(C(=O)[O-])C(CCC)(CCC)C(=O)[O-],-3.4953596006
CC1CC(=O)C=C2CCC3C4CCC(O)C4(C)CCC3C21C,-3.5264225666000004
CC1=Nc2ccccc2C1=NNc1cc(Cl)c(S(=O)(=O)NCCS(=O)(=O)[O-])cc1Cl,-3.7561795168
CC(C)(O)C(=O)c1ccc(Cc2ccc(C(=O)C(C)(C)O)cc2)cc1,-4.536378597
O=C(Nc1ccccc1)Nc1ccccc1NS(=O)(=O)c1ccccc1,-4.5784028785
CCS,-0.8459165595999999
CC(C)=CCCC(C)CC=O,-3.243750947
CC(C)C12CCC(C)(O1)C(O)C2,-0.288092629
CC(C)c1ccc(CCC=O)cc1,-3.3026567859
CCCCBr,-2.1977641867
CCCOC(C)OCCc1ccccc1,-3.3841929036
COC(OC)C(C)(C)CC=C(C)C,-3.3397616042
COC(C)(C)C1CC=C(C)CC1,-3.2966135776
C#CC(C)(O)CCC=C(C)CC,-2.3027678878
FC(F)=C(F)Cl,-2.1609542979
CCCCCCCCCCCCOCCO,-1.4593774078
NC(=NC(=[NH2+])NCCCCCCNC(=[NH2+])N=C(N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,-2.8005950876
CC=C1CC2C=CC1C2,-3.1767964148
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,-3.5256277962
O=C(OCc1ccccc1)c1ccccc1O,-4.4139224059
O=S(=O)([O-])c1cccc2cc(Nc3ccccc3)cc(Nc3ccccc3)c12,-4.6725029066
c1ccc(Sc2ccccc2)cc1,-4.3606078686
CCOCCCNS(=O)(=O)c1ccc(Oc2cc(O)c3c(c2N)C(=O)c2ccccc2C3=O)cc1,-4.7874700957
CCO,1.2336682179
COc1ccc(OC)cc1,-2.2455315279
c1ccc(CCOC2CCCCC2)cc1,-2.4180900548
CCC(C)(CCC(C)C)C(=O)[O-],-2.7160174073000003
CC=CC(=O)C1C(C)C=CCC1(C)C,-3.3963665007
O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)cc1,-3.5579600556
CCCCCC=CCCC=O,-3.301742894
Cc1cc(C)c(C)c(O)c1,-2.2522030039
CC(F)(F)F,-2.043101387
CC(C)(O)C(=O)c1ccc(OCCO)cc1,-1.4699304792
CN(C(=O)N(C)c1ccccc1)c1ccccc1,-3.4975575811
O=C1CCCCCCCCCCC(=O)OCCO1,-3.533758505
CC(C)CCCC(C)(C)O,-2.2869836341
CCC(=O)OCc1ccccc1,-2.344979827
C#CC1(OC(C)=O)CCCCC1,-2.352215179
CSC,-0.9312189022
Nc1cc(Cl)c(Cl)cc1Cl,-3.4359504856
CC(C)c1cccc(C(C)CC=O)c1,-3.6773468456
FC1CC(F)(F)C(F)(F)C1(F)F,-2.436880918
CC=Cc1ccc(O)c(OC)c1,-2.3647374971
Cc1ccc(C=O)cc1C,-2.277035079
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,-1.0993150407
COc1cc(C=O)cc([N+](=O)[O-])c1[O-],-2.4496899299
CCN(CC)c1cccc(NC(C)=O)c1,-2.4693780306
C=C1C2CCC3C2C(C)(C)CCCC13C,-4.412762427200001
O=C(OCCc1ccccc1)c1ccccc1O,-4.4891053349000005
N#CC(=C1CCCCC1)c1ccccc1,-4.4200239973
CC(C)(C)CC(C)(C)c1ccc(O)cc1,-4.4694622333
COc1ccc(C(=O)Nc2ccc(C(N)=O)cc2)cc1[N+](=O)[O-],-4.6536052692
CCCCCCCCCCCCCCCCCC[NH+](C)C,-4.6786900339
CCCC[N+](CCCC)(CCCC)CCCC,1.3320248442
O=S(=O)([O-])c1cccc(S(=O)(=O)[O-])c1,0.3709472853
CCCCCCOC,-2.2450853258000003
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,-2.5337046723
CC(C)c1ccc(C(C)CC=O)cc1,-3.4598629014
O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)c(C(=O)OCC2CO2)c1,-2.7622964758
CCCCC(CC)C(=O)OCC,-3.423291255
CCN(c1cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c1)c1nc(Cl)nc(Nc2ccc3c(c2)C=C(S(=O)(=O)[O-])C(=NNc2ccc(OC)cc2S(=O)(=O)[O-])C3=O)n1,-1.1616711076
CCOc1ccccc1OCC,-2.41045076
C=CC(=C)C,-2.0257332357
CCCCCCCCC=CCCCCCCCC[NH2+]CCC[NH2+]CCC[NH2+]CCCN,-3.8360757577
CC(C)CCCC(C)CCO,-3.3932597866000003
CCN1C(=O)C(=NNc2ccc(S(=O)(=O)c3ccc(NN=C4C(=O)N(CC)C(=O)C(CS(=O)(=O)[O-])=C4C)cc3)cc2)C(C)=C(CS(=O)(=O)[O-])C1=O,-2.1021873796
CC(=O)c1ccccc1,-1.2803868403
CCC=C(C)C(O)CCCCC,-3.4318638977
CC(C)c1ccccc1C(C)C,-2.4977135853
Cc1cccc(C)c1O,-1.292396158
CCC(O)c1ccccc1,-2.3403675905
CC(=O)c1cccc(C(F)(F)F)c1,-2.4821079167
OCC=CCO,0.8466851642000001
C=C(C)C(=O)OCCOCCOCCOCC,-0.6030114261
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C([NH3+])C2SC1,-2.6489777217
CC(C)C,-2.977604072
CCCC,-2.977604072
CC1(C)C2CC=C(CCC=O)C1C2,-3.4657606101
Nc1nc(N)[nH+]c(-c2ccccc2)n1,-2.4941685135
C=Cc1cc(Br)ccc1Br,-4.5787304077
Cc1ccccc1NC(=O)c1cc2ccccc2cc1O,-4.6234419541000005
COC(=O)c1nc(Cl)c(Cl)nc1N,-4.5348386091
C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,-4.5442204359
CCCCCCCCCOC(C)=O,-4.4708606495
O=C(OC1CCCCC1)c1ccccc1O,-4.5540762927
CCC=CCCOC(=O)CC=CCC,-4.5097094839
CCC12CCC3C4=C(CCC3C1CCC2O)CC(OC)=CC4,-4.7025138257
COc1ccc(C(=O)c2ccccc2)c(O)c1,-4.5802538276
CC(=O)C1=C(C)C2CC3(C1)C(C)CCC3C2(C)C,-4.6134788776
CCCCCCC1CCCC1=O,-3.4515155376
Nc1ccc(Cl)cc1O,-2.3906599281
CCOc1ccc(C(=O)[O-])cc1,-2.4548997462
Nc1c(Cl)cc(C(F)(F)F)cc1Cl,-3.591642752
Cc1ccccc1,-2.2062982993
CC12C=CC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,-3.7003596507
ClCCCCCCCl,-3.4346473299
C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl,-4.676528089
C=CCOC(=O)COc1ccccc1,-2.5363732086
CNS(=O)(=O)c1cc(OC)c(N)cc1OC,-3.6510805625
O=c1[nH]c2ccccc2[nH]1,-2.3927519971
C=CC(=O)OCCC(C)CCOC(=O)C=C,-2.6214335505
CCCCCCCCCCCCCCC(C)c1cc(C)cc(C)c1O,-7.335707322699999
C1=CCCC1,-2.1049144818000003
C=C(C)C(=O)Oc1ccccc1,-2.4948513605
