SMILES,logS
CC(=O)c1cccc(N)c1,-1.28
CCCC(=O)OCC,-1.28
CC(Cl)Cl,-1.29
COc1ccc(NC(C)=O)cc1,-1.3
ClCCBr,-1.32
CC(=O)Nc1ccccc1,-1.33
CCCCC(=O)OC,-1.36
NC(=[NH2+])N[N+]([O-])=O,-1.37
Nc1cccc(Cl)c1,-1.37
CCC1(CC)C(=O)NC(=O)NC1=O,-1.39
CC[NH+](CC)CCOC(=O)c1ccc(N)cc1,-1.4
CC(=O)Nc1ccccc1Cl,-1.4
[O-]C(=O)CCc1ccccc1,-1.41
c1ccc(nc1)-c1ccccn1,-1.42
[O-]C(=O)c1ccsc1,-1.47
ClCC(Cl)Cl,-1.48
COc1ccc(C=O)cc1,-1.49
ClCCS(=O)(=O)CCCl,-1.5
NC(=[NH2+])NCC([O-])=O,-1.51
Nc1ccccc1C([O-])=O,-1.52
COc1ccc2CC3C4C=CC(O)C5Oc1c2C45CC[NH+]3C,-1.52
c1cc(ccn1)-c1ccncc1,-1.54
[O-]C(=O)c1ccccc1,-1.55
C[NH+]1CCCCC1C(=O)Nc1c(C)cccc1C,-1.55
CSc1cnc2cncnc2n1,-1.55
Oc1ccc(Cl)cc1Cl,-1.55
CCCCC(=O)CC(C)=O,-1.56
COc1cc(CC=C)ccc1O,-1.56
CN1C(=O)NC2=C(NC(=O)N2)C1=O,-1.56
Cc1cc(O)ccc1Cl,-1.57
CNC(=O)Oc1ccccc1C1OCCO1,-1.57
CC(=O)Nc1ccc(C=O)cc1,-1.58
COC(=O)c1ccc(N)cc1,-1.59
CC(Cl)CCl,-1.6
CC(C)CC(=O)CC(C)=O,-1.6
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,-1.6
[O-]C(=O)c1ccccc1C(F)(F)F,-1.6
CN(C)C(=O)Nc1ccccc1,-1.6
CC(=O)Nc1ccc(cc1)S(N)(=O)=O,-1.61
COc1ccc(CC2[NH2+]CC(O)C2OC(C)=O)cc1,-1.61
CNC(=O)ON=C(CSC)C(C)(C)C,-1.62
ClC(Cl)C(=O)N(CC=C)CC=C,-1.62
